Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
08104/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;23/07/2021;Congreso;Acción Popular;LEY QUE MODIFICA LA LEY 28094, LEY DE PARTIDOS POLÍTICOS PARA REGULAR LA LEGALIDAD DE PLANES DE GOBIERNO, E IMPEDIR LA ESTAFA POLITICA;Propone modificar los artículos 23-A y 36-B a la Ley de Partidos Políticos.
08103/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;23/07/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE NECESIDAD PÚBLICA Y PREFERENTE INTERÉS NACIONAL LA CREACIÓN DE LA UNIVERSIDAD NACIONAL DE LOS VALLE DE LOS RÍOS APURÍMAC, ENE Y MANTORO - UNIVRAEM;Propone declarar de necesidad pública y preferente interés nacional la creación de la Universidad Nacional de los Valle de ríos Apurímac, Ene y Mantaro - UNIVRAEM en el distrito Pichari, provincia de La Convención, región del Cusco.
08102/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;23/07/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE INTERES NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN DEL TRAMO IZCUCHACA - MAYOCC, DE LA CARRETERA IZCUCHACA-HUANTA;Propone declarar de interés nacional y necesidad pública la construcción del tramo Izcuchaca - Mayocc, perteneciente a la carretera Izcuchaca-Huanta región Huancavelica a fin de afianzar la conectividad e integración en sus pueblos y las regiones vecinas.
08101/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;20/07/2021;Congreso;Podemos Perú;LEY QUE PROMUEVE EL INICIO DE LA DEMARCACIÓN TERRITORIAL PARA LA CREACIÓN DE PROVINCIAS Y DISTRITOS;Propone promover el inicio de la demarcación territorial para la creación de provincias y distritos.
08100/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;20/07/2021;Congreso;Somos Perú;"LEY QUE DECLARA DE INTERES NACIONAL LA INVESTIGACIÓN, RECUPERACIÓN, CONSERVACIÓN Y PUESTA EN VALOR """"LA CAPILLA DE PUCYU ÑAHUI, SU CERCO PARIMETRICO Y TORRE CAMPANARIO"""" UBICADO EN LA COMUNIDAD CAMPESINA DE JALCCO, DISTRITO DE LIVITACA, PROVINCIA DE CHUMBIVILCAS, DEPARTAMENTO DE CUSCO";"Propone declara de interés nacional la investigación, recuperación, conservación y puesta en valor """"La Capilla de Pucyu Ñahui, su Cerco Perimétrico y Torre Campanario """" ubicado en la comunidad campesina de Jalcco, distrito de Livitaca, provincia de Chumbivilcas, departamento de Cusco"
08099/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;20/07/2021;Congreso;Alianza Para el Progreso;LEY QUE PROPONE LA CREACIÓN DE LA UNIVERSIDAD NACIONAL PEDRO VILCAPAZA ALARCON DE AZÁNGARO (UNAPEVA);Propone la creación de la Universidad Nacional Pedro Vilcapaza Alarcón de Azángaro (UNAPEVA).
08098/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;19/07/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE CCOCHAPAMPA EN LA PROVINCIA DE HUAMANGA, DEPARTAMENTO DE AYACUCHO;Propone declarar de necesidad pública e interés nacional la creación del distrito de Ccochapampa en la provincia de Huamanga, departamento de Ayacucho.
08097/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Frente Amplio por Justicia, Vida y Libertad;LEY DE REFORMA CONSTITUCIONAL QUE RECONOCE COMO SUJETOS DE DERECHO A LOS RÍOS AMAZÓNICOS, ESTABLECE UN SISTEMA ESPECIAL DE PROTECCIÓ Y CONSERVACIÓN INTEGRAL POR SUS ESPECIALES CONDICIONES;Propone reconocer a los ríos de la Amazonía como sujeto y titulares de derecho debido al valor intrínseco que tienen y la importancia que detenta con respecto al medio ambiente y ecosistemas del Perú, a fin de garantizar su protección especial.
08096/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Frente Amplio por Justicia, Vida y Libertad;LEY QUE DECLARA DE INTRERÉS NACIONAL EL SISTEMA DE LA CUENCA DEL RIO LURIN;Propone declarar de interés nacional el sistema de la Cuenca del Río Lurín.
08095/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Nueva Constitución;LEY QUE DECLRAR DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA EL MEJORAMIENTO DE LA CAPACIDAD RESOLUTIVA, EQUIPAMIENTO Y RECATEGORIZACIÓN DE LOS SERVICIOS DE SALUD DEL HOSPITAL DE APOYO DE CARAZ, PROVINCIA DE HUAYLAS, DE NIVEL II-1 A CATEGORIA III NIVEL 1;Propone declarar de interés nacional y necesidad pública la recategorización del Hospital de Apoyo de Caraz, provincia de Huaylas, de Nivel II-1 a categoría III Nivel 1, así como el mejoramiento de su equipamiento y capacidad resolutiva de los servicios de salud.
08094/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Frente Popular Agrícola del Perú;LEY QUE DECLARA DE INTERÉS SOCIAL Y NECESIDAD PUBLICA LA EJECUCIÓN DEL PROYECTO DE MEJORAMIENTO DE LA TRANSITABILIDAD VEHICULAR Y PEATONAL DE LA VÍA DE EVITAMIENTO DE LA PROVINCIA DE ANTA, EN LA REGION DE CUSCO;Propone declarar de necesidad pública e interés Social la ejecución y asfaltado del proyecto de mejoramiento de la transitabilidad vehicular y peatones de la vía de evitamiento, que inicia en la carretera nacional asfaltado ruta PE -35, Anta (Km 00+000 Sector de Mesa Pata) a través del camino vecinal (CU 1251) y concluye en la carretera nacional PE - 3S - Anta (Km 04+015, Sector Nuevo Primavera, con tramo asfaltado de 4.019 Km. De longitud.
08093/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Podemos Perú;LEY QUE INCORPORA NUEVA CAUSAL DE VACANCIA EN EL ARTÍCULO 22 DE LA LEY 27972, LEY ORGÁNICA DE MUNICIPALIDADES;Propone incorporar el numeral 11) al artículo 22.- Vacancia del cargo de alcalde o regidor, de la Ley Orgánica de Municipalidades.
08092/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Multipartidario;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE SINCHIMACHE, EN LA PROVINCIA DE CUTERVO EN EL DEPARTAMENTO DE CAJAMARCA;Propone declarar de interés nacional y necesidad pública la creación del distrito de Sinchimache, en la provincia de Cutervo, en el departamento de Cajamarca.
08091/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Nueva Constitución;LEY QUE DECLARA DE INTERÉS NACIONAL, NECESIDAD PÚBLICA Y DISPONE LA CREACIÓN DE LA ZONA FRANCA COMERCIAL, INDUSTRIAL Y TECNOLÓGICA A LA REGIÓN PUNO;Propone declarar de interés nacional y necesidad pública y dispone la creación de la zona franca industrial y tecnológica a la región Puno.
08090/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Nueva Constitución;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CONSTRUCCIÓN Y EQUIPAMIENTO DE UN HOSPITAL EN EL DISTRITO DE CRUCERO, PROVINCIA DE CARABAYA DEPARTAMENTO DE PUNO;Propone declarar de interés nacional y necesidad pública la construcción y equipamiento de un hospital en el distrito de Crucero, provincia de Carabaya, departamento de Puno.
08089/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Nueva Constitución;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA CREACIÓN DEL DISTRITO DE AZAROMA, PROVINCIA DE CARABAYA, DEPARTAMENTO DE PUNO;Propone declarar de interés nacional y necesidad pública la creación del distrito de Azaroma, provincia de Carabaya, departamento de Puno.
08088/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Alianza Para el Progreso;LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERES NACIONAL EL MEJORAMIENTO DE LA CAPACIDAD RESOLUTIVA, EQUIPAMIENTO Y RECATEGORIZACIÓN DEL CENTRO DE SALUD (CATEGORÍA 1. 4) AL HOSPITAL CATEGIRÍA II. 1 DE LA PROVINCIA DE URUBAMBA, DEPARTAMENTO DE CUSCO;Propone declarar de necesidad pública e interés nacional el mejoramiento de la capacidad resolutiva, equipamiento y recategorización del centro de salud (categoría 1. 4) al hospital categoría II. 1 de la provincia de Urubamba, departamento de Cusco.
08087/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Alianza Para el Progreso;LEY QUE OTORGA EL TITULO HONORIFICO DE HEROE NACIONAL AL SGTO 2 (F) GABINO PUÑO COLQUE, FALLECIDO EN LA CAMPAÑA CONTRA COLOMBIA EN 1933;Propone otorgar el titulo honorifico de héroe nacional al SGTO 2 (F) Gabino Puño Colque, fallecido en la campaña contra Colombia en el año de 1933.
08086/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Acción Popular;LEY QUE DECLARA DE INTERÉS NACIONAL Y NECESIDAD PÚBLICA LA OPERATIVIDAD DE UNA PLANTA DE PRODUCCIÓN DE VACUNAS CONTRA LA COVID-19;Propone declarar de interés nacional y necesidad pública la creación y operación de una planta de producción de vacunas contra la covid-19 para inoculación de la población nacional.
08085/2020-CR;2016 - 2021;Cuarta Legislatura Ordinaria 2020;16/07/2021;Congreso;Acción Popular;LEY QUE CREA EL SISTEMA NACIONAL UNIFICADO DE SALUD - SUS;Propone crear el sistema Nacional Unificado de Salud - SUS, cuyo ente rector es el Ministro de Salud, quien asumirá la conducción administrativa de los Hospitales de nivel II y III que se encuentran a cargo de las direcciones o gerencias regionales de salud de los gobiernos regionales.
