Expediente;Período;Legislatura;Fecha;Proponente;Parlamento;Título;Objeto
06635/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;09/11/2020;Congreso;Podemos Perú;LEY QUE DECLARA DE INTERÉS NACIONAL LA REPATRIACIÓN DE LOS RESTOS MORTALES DE FERNANDO TÚPAC AMARU BASTIDAS;Propone declarar de interés nacional la repatriación desde España, de los restos mortales de Fernando Túpac Amaru Bastidas y su ubicación en el inmueble denominado la Casa de José Gabriel Túpac Amaru Noguera, Túpac Amaru II, de propiedad de la Municipalidad distrital de Túpac Amaru, ubicada en la Plaza de Armas de Tungasuca, distrito de Túpac Amaru, provincia de Canas, región Cusco.
06634/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;09/11/2020;Congreso;No Agrupados;LEY QUE PROMUEVE LA PARTICIPACIÓN DE MUJERES Y PERSONAS EN SITUACIÓN DE VULNERABILIDAD EN LA DESIGNACIÓN DE CARGOS DE CONFIANZA EN EL PODER EJECUTIVO;Propone ley que promueve la participación de mujeres y personas en situación de vulnerabilidaad en la designación de cargos de confianza en el Poder Ejecutivo.
06633/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;09/11/2020;Congreso;Podemos Perú;RESOLUCIÓN LEGISLATIVA QUE MODIFICA EL INCISO J) DEL ARTÍCULO 22 DEL REGLAMENTO DEL CONGRESO DE LA REPÚBLICA Y ESTABLECE EL MÓDULO BÁSICO DE PERSONAL EN EL DESPACHO DEL CONGRESISTA DE LA REPÚBLICA;Propone modificar el inciso j) del artículo 22 del Reglamento del Congreso de la República estableciendo el número mínimo de personas que componen el módulo de personal de asesoría y apoyo en el despacho del Congresista de la República.
06632/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;09/11/2020;Congreso;Podemos Perú;LEY QUE DISPONE QUE EL MONTO CORRESPONDIENTE AL IGV QUE SE DEDUCE DEL PAGO QUE REALIZA LAS MUNICIPALIDADES AS LAS EMPRESAS PROVEEDORAS DEL PROGRAMA DE VASO DE LECHE (PVL) POR LA COMPRA DE INSUMOS, SEA DISPUESTO PARA EL INCREMENTO DEL PRESUPUESTO DE DICHO PROGRAMA SOCIAL;Propone que las Municipalidades puedan disponer del Impuesto General a las Ventas (IGV), que se deduce del pago total por concepto de compra de insumos alimentarios para el Programa del Vaso de Leche, a fin de incremenear el presupuesto de dicho programa social con el fin de contar con más insumos alimenticios.
06631/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;09/11/2020;Congreso;Podemos Perú;LEY DE SALVAGUARDA DEL AFILIADO AL SISTEMA PRIVADO DE ADMINISTRACIÓN DE FONDO DE PENSIONES;Propone salvaguardar al afiliado del Sistema Privado de Administración de Fondo de Pensiones, dictando disposiciones para el retiro de fondos de las Cuentas Individuales de Capitalización (CIC), tanto para los que dejaron de aportar, así como para los que vienen aportando al sistema, además de otorgar mejores condiciones para preservar los mismos, eliminando la comisión por saldo.
06630/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;09/11/2020;Congreso;Unión por el Perú;LEY DE REFORMA CONSTITUCIONAL QUE MODIFICA EL ARTÍCULO 39 DE LA CONSTITUCIÓN DEL ESTADO;Propone modificar el artículo 39 de la Constitución Política del Perú.
06629/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;06/11/2020;Congreso;Acción Popular;LEY QUE DESARROLLA, EL CARÁCTER NO DELIBERANTE DE LAS FUERZAS ARMADAS;Propone ley que tiene por objeto desarrollar, el carácter no deliberante de las Fuerzas Armadas (FFAA) peruanas, y de determinar los supuestos que transgreden contenido en el artículo 169 de la Constitución Política del Perú.
06628/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;06/11/2020;Congreso;Partido Morado;LEY QUE PROMUEVE LA CREACIÓN DE FILIALES DE UNIVERSIDADES PÚBLICAS;Propone modificar la Ley Universitaria, Ley 30220, y establecer medidas adicionales a fin de promover la creación de filiales de universidades públicas licenciadas para garantizar una oferta educativa descentralizada y favorecer el acceso a la educación superior universitaria.
06627/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;06/11/2020;Congreso;Podemos Perú;LEY PARA EL SANEAMIENTO DE LA PROPIEDAD DE POSESIONARIOS DE INMUEBLES ADQUIRIDOS Y/O CONSTRUIDOS CON RECURSOS DEL FONAVI;Propone establecer nuevos criterios para el saneamiento de la propiedad mediante un pago pecunario justo y flexible de los posesionarios y/o titulares de terrenos adquiridos y/o construidos con recursos de FONAVI, así como para los titulares de créditos vencidos, o contrato resuelto, pero que mantienen en posesión las viviendas adquiridas o construidas por el FONAVI.
06626/2020-CR;2016 - 2021;Segunda Legislatura Ordinaria 2020;06/11/2020;Congreso;Podemos Perú;LEY QUE DECLARA DE NECESIDAD PÚBLICA E INTERÉS NACIONAL PARA EL AÑO FISCAL 2021, SE ASIGNE RECURSOS PARA COMPLETAR EL PAGO DE DEUDA A FAVOR DEL PERSONAL POLICIAL EN ACTIVIDAD Y EN RETIRO, EN APLICACIÒN DE LOS DECRETOS DE URGENCIA 090-96, 073-97 Y 011-99;Propone declarar de necesidad pública e interés nacional la asignación de recursos para el pago de los adeudos del 2% en favor del personal polical en actividad y en retiro, reconocidos en los Decretos de Urgencia 090-96, 073-97 y 011-99.
